"","Isolate.Name","Accession.Code","Population","Year.of.Isolation","Serotype","Vaccine.Type","filename"
"416","O8I1E","ERR124301","Massachusetts",2007,"35B","NVT","7553_5#85"
"417","JBYFY","ERR124316","Massachusetts",2007,"35B","NVT","7553_6#4"
"418","T8Z8O","ERR129035","Massachusetts",2007,"35B","NVT","7622_2#11"
"419","F77ZH","ERR129074","Massachusetts",2007,"35B","NVT","7622_3#50"
"420","4K4C9","ERR129086","Massachusetts",2007,"35B","NVT","7622_3#62"
"421","QWSZT","ERR129087","Massachusetts",2007,"35B","NVT","7622_3#63"
"422","4PYM0","ERR129089","Massachusetts",2007,"35B","NVT","7622_3#65"
"423","WAMFH","ERR129099","Massachusetts",2007,"35B","NVT","7622_3#75"
"424","W8IHX","ERR129104","Massachusetts",2007,"35B","NVT","7622_3#80"
"425","9D25H","ERR129119","Massachusetts",2007,"35B","NVT","7622_3#95"
"426","P1NM2","ERR129134","Massachusetts",2007,"35B","NVT","7622_4#14"
"427","0U64I","ERR129143","Massachusetts",2007,"35B","NVT","7622_4#23"
"428","UTEDZ","ERR129148","Massachusetts",2007,"35B","NVT","7622_4#28"
"429","B1KMB","ERR129163","Massachusetts",2007,"35B","NVT","7622_4#43"
"430","AFVC5","ERR129173","Massachusetts",2007,"35B","NVT","7622_5#53"
"431","REAOU","ERR129179","Massachusetts",2007,"35B","NVT","7622_5#59"
"432","0NWX9","ERR129200","Massachusetts",2007,"35B","NVT","7622_5#80"
"433","R34-3032","ERR065289","Massachusetts",2004,"NT","NVT","6925_1#51"
"434","R34-3039","ERR065296","Massachusetts",2004,"NT","NVT","6925_1#58"
"435","R34-3015","ERR065341","Massachusetts",2004,"NT","NVT","6930_8#9"
"436","462746","ERR065965","Massachusetts",2001,"NT","NVT","6952_4#13"
"437","508907","ERR065974","Massachusetts",2001,"NT","NVT","6952_4#22"
"438","WVCE6","ERR124278","Massachusetts",2007,"NT","NVT","7553_5#62"
"439","68G2D","ERR129130","Massachusetts",2007,"NT","NVT","7622_4#10"
"440","R34-3027","ERR065353","Massachusetts",2004,"6A","VT","6930_8#21"
"441","420881","ERR065953","Massachusetts",2001,"6A","VT","6952_4#1"
"442","R34-3180","ERR067979","Massachusetts",2004,"6A","VT","6952_7#20"
"443","R34-3096","ERR068001","Massachusetts",2004,"6A","VT","7001_1#19"
"444","R34-3099","ERR068004","Massachusetts",2004,"6A","VT","7001_1#22"
"445","R34-3100","ERR068005","Massachusetts",2004,"6B","VT","7001_1#23"
"446","R34-3151","ERR068043","Massachusetts",2004,"6A","VT","7001_3#15"
"447","R34-3210","ERR069709","Massachusetts",2004,"6A","VT","6999_2#4"
"448","R34-3211","ERR069710","Massachusetts",2004,"6A","VT","6999_2#5"
"449","015445","ERR069734","Massachusetts",2001,"6A","VT","6999_3#6"
"450","042861","ERR069741","Massachusetts",2001,"6A","VT","6999_3#13"
"451","101058","ERR069759","Massachusetts",2001,"6A","VT","6999_4#8"
"452","166637","ERR069784","Massachusetts",2001,"6A","VT","6999_5#10"
"453","181272","ERR069788","Massachusetts",2001,"6A","VT","6999_5#14"
"454","359370","ERR069827","Massachusetts",2001,"6A","VT","6999_7#7"
"455","5W908","ERR124223","Massachusetts",2007,"6C","NVT","7553_4#7"
"456","CM917","ERR129027","Massachusetts",2007,"6C","NVT","7622_2#3"
"457","0TN5H","ERR129092","Massachusetts",2007,"6A","VT","7622_3#68"
"458","FU8OL","ERR129115","Massachusetts",2007,"6C","NVT","7622_3#91"
"459","448643","ERR065963","Massachusetts",2001,"6A","VT","6952_4#11"
"460","R34-3168","ERR067966","Massachusetts",2004,"6A","VT","6952_7#7"
"461","R34-3171","ERR067969","Massachusetts",2004,"6A","VT","6952_7#10"
"462","R34-3201","ERR069700","Massachusetts",2004,"6A","VT","6999_1#18"
"463","051715","ERR069744","Massachusetts",2001,"6A","VT","6999_3#16"
"464","065435","ERR069747","Massachusetts",2001,"6A","VT","6999_3#19"
"465","108480","ERR069763","Massachusetts",2001,"6A","VT","6999_4#12"
"466","179743","ERR069787","Massachusetts",2001,"6A","VT","6999_5#13"
"467","AI3GZ","ERR124303","Massachusetts",2007,"6A","VT","7553_5#87"
"468","2RLC4","ERR124314","Massachusetts",2007,"6A","VT","7553_6#2"
"469","CXQ2T","ERR129128","Massachusetts",2007,"6A","VT","7622_4#8"
"470","342672","ERR069825","Massachusetts",2001,"6A","VT","6999_7#5"
"471","R34-3058","ERR065314","Massachusetts",2004,"19F","VT","6925_2#77"
"472","503574","ERR065973","Massachusetts",2001,"19F","VT","6952_4#21"
"473","R34-3085","ERR067990","Massachusetts",2004,"19F","VT","7001_1#8"
"474","R34-3094","ERR067999","Massachusetts",2004,"19F","VT","7001_1#17"
"475","R34-3098","ERR068003","Massachusetts",2004,"19F","VT","7001_1#21"
"476","R34-3141","ERR068035","Massachusetts",2004,"19F","VT","7001_3#7"
"477","R34-3142","ERR068036","Massachusetts",2004,"19F","VT","7001_3#8"
"478","R34-3200","ERR069699","Massachusetts",2004,"19F","VT","6999_1#17"
"479","R34-3207","ERR069706","Massachusetts",2004,"19F","VT","6999_2#1"
"480","R34-3221","ERR069720","Massachusetts",2004,"19A","NVT","6999_2#15"
"481","105542","ERR069762","Massachusetts",2001,"19F","VT","6999_4#11"
"482","208866","ERR069791","Massachusetts",2001,"19F","VT","6999_5#17"
"483","209930","ERR069793","Massachusetts",2001,"19F","VT","6999_5#19"
"484","404463","ERR069842","Massachusetts",2001,"19F","VT","6999_7#22"
"485","416185","ERR069843","Massachusetts",2001,"19F","VT","6999_7#23"
"486","OQTRJ","ERR124222","Massachusetts",2007,"19A","NVT","7553_4#6"
"487","LABTO","ERR124233","Massachusetts",2007,"19A","NVT","7553_4#17"
"488","CHP0M","ERR124255","Massachusetts",2007,"19A","NVT","7553_4#39"
"489","DH8X5-1","ERR129031","Massachusetts",2007,"19A","NVT","7622_2#7"
"490","06URQ","ERR129036","Massachusetts",2007,"19A","NVT","7622_2#12"
"491","NFPTS","ERR129049","Massachusetts",2007,"19A","NVT","7622_2#25"
"492","6GU7V","ERR129062","Massachusetts",2007,"19F","VT","7622_2#38"
"493","1QJAP","ERR129075","Massachusetts",2007,"19A","NVT","7622_3#51"
"494","WMK3T","ERR129078","Massachusetts",2007,"19F","VT","7622_3#54"
"495","9SKOT","ERR129193","Massachusetts",2007,"19A","NVT","7622_5#73"
"496","R34-3078","ERR067983","Massachusetts",2004,"3","NVT","7001_1#1"
"497","R34-3084","ERR067989","Massachusetts",2004,"3","NVT","7001_1#7"
"498","R34-3101","ERR068006","Massachusetts",2004,"3","NVT","7001_2#1"
"499","R34-3190","ERR069689","Massachusetts",2004,"3","NVT","6999_1#7"
"500","R34-3202","ERR069701","Massachusetts",2004,"3","NVT","6999_1#19"
"501","R34-3217","ERR069716","Massachusetts",2004,"3","NVT","6999_2#11"
"502","065645","ERR069748","Massachusetts",2001,"3","NVT","6999_3#20"
"503","072511","ERR069750","Massachusetts",2001,"3","NVT","6999_3#22"
"504","369820","ERR069832","Massachusetts",2001,"3","NVT","6999_7#12"
"505","P213M","ERR129180","Massachusetts",2007,"3","NVT","7622_5#60"
"506","LDD87","ERR129212","Massachusetts",2007,"3","NVT","7622_5#92"
"507","R34-3053","ERR065309","Massachusetts",2004,"NT","NVT","6925_1#71"
"508","R34-3060","ERR065316","Massachusetts",2004,"6C","NVT","6925_2#79"
"509","093209","ERR069757","Massachusetts",2001,"6C","NVT","6999_4#6"
"510","PWGX0","ERR124217","Massachusetts",2007,"6C","NVT","7553_4#1"
"511","NKLJL","ERR124253","Massachusetts",2007,"6C","NVT","7553_4#37"
"512","4XILA","ERR124266","Massachusetts",2007,"6C","NVT","7553_5#50"
"513","LY288","ERR124305","Massachusetts",2007,"6C","NVT","7553_5#89"
"514","QU2WM","ERR124310","Massachusetts",2007,"6C","NVT","7553_5#94"
"515","QQK9Y","ERR129048","Massachusetts",2007,"6C","NVT","7622_2#24"
"516","SEOTT","ERR129111","Massachusetts",2007,"6C","NVT","7622_3#87"
"517","ODNWT","ERR129145","Massachusetts",2007,"6C","NVT","7622_4#25"
"518","481643","ERR065969","Massachusetts",2001,"6B","VT","6952_4#17"
"519","487827","ERR065971","Massachusetts",2001,"6B","VT","6952_4#19"
"520","R34-3136","ERR068030","Massachusetts",2004,"23F","VT","7001_3#2"
"521","R34-3186","ERR069685","Massachusetts",2004,"6B","VT","6999_1#3"
"522","R34-3194","ERR069693","Massachusetts",2004,"6B","VT","6999_1#11"
"523","153438","ERR069779","Massachusetts",2001,"6B","VT","6999_5#5"
"524","174702","ERR069786","Massachusetts",2001,"6B","VT","6999_5#12"
"525","223832","ERR069798","Massachusetts",2001,"6B","VT","6999_6#1"
"526","1TR6C","ERR129168","Massachusetts",2007,"6C","NVT","7622_4#48"
"527","UB6XH","ERR129172","Massachusetts",2007,"6B","VT","7622_5#52"
"528","R34-3046","ERR065302","Massachusetts",2004,"38","NVT","6925_1#64"
"529","R34-3065","ERR065321","Massachusetts",2004,"38","NVT","6925_2#84"
"530","R34-3146","ERR068039","Massachusetts",2004,"38","NVT","7001_3#11"
"531","144370","ERR069773","Massachusetts",2001,"38","NVT","6999_4#22"
"532","147587","ERR069775","Massachusetts",2001,"38","NVT","6999_5#1"
"533","HU4AA","ERR129040","Massachusetts",2007,"38","NVT","7622_2#16"
"534","8PNF1","ERR129056","Massachusetts",2007,"38","NVT","7622_2#32"
"535","J29X8","ERR129124","Massachusetts",2007,"38","NVT","7622_4#4"
"536","K8121","ERR129188","Massachusetts",2007,"38","NVT","7622_5#68"
"537","26IET","ERR129028","Massachusetts",2007,"19A","NVT","7622_2#4"
"538","FRIZ4","ERR129030","Massachusetts",2007,"19A","NVT","7622_2#6"
"539","X71H5","ERR129083","Massachusetts",2007,"19A","NVT","7622_3#59"
"540","Y6BSG","ERR129103","Massachusetts",2007,"19A","NVT","7622_3#79"
"541","3UTO8","ERR129136","Massachusetts",2007,"19A","NVT","7622_4#16"
"542","6U8ZJ","ERR129138","Massachusetts",2007,"19A","NVT","7622_4#18"
"543","3GWV1","ERR129202","Massachusetts",2007,"19A","NVT","7622_5#82"
"544","MFII0","ERR129216","Massachusetts",2007,"19A","NVT","7622_5#96"
"545","R34-3048","ERR065304","Massachusetts",2004,"34","NVT","6925_1#66"
"546","438180","ERR065959","Massachusetts",2001,"34","NVT","6952_4#7"
"547","R34-3086","ERR067991","Massachusetts",2004,"6C","NVT","7001_1#9"
"548","R34-3115","ERR068016","Massachusetts",2004,"34","NVT","7001_2#11"
"549","6JT2I","ERR124230","Massachusetts",2007,"6C","NVT","7553_4#14"
"550","NA03L","ERR129038","Massachusetts",2007,"34","NVT","7622_2#14"
"551","DR1PD","ERR129066","Massachusetts",2007,"34","NVT","7622_2#42"
"552","430772","ERR065956","Massachusetts",2001,"14","VT","6952_4#4"
"553","R34-3230","ERR069729","Massachusetts",2004,"14","VT","6999_3#1"
"554","R34-3231","ERR069730","Massachusetts",2004,"14","VT","6999_3#2"
"555","142534","ERR069772","Massachusetts",2001,"14","VT","6999_4#21"
"556","268660","ERR069806","Massachusetts",2001,"14","VT","6999_6#9"
"557","306435","ERR069816","Massachusetts",2001,"14","VT","6999_6#19"
"558","341365","ERR069824","Massachusetts",2001,"14","VT","6999_7#4"
"559","R34-3173","ERR067972","Massachusetts",2004,"33F","NVT","6952_7#13"
"560","R34-3102","ERR068007","Massachusetts",2004,"18C","VT","7001_2#2"
"561","R34-3121","ERR068021","Massachusetts",2004,"33F","NVT","7001_2#16"
"562","187406","ERR069789","Massachusetts",2001,"33F","NVT","6999_5#15"
"563","ZPN7P","ERR124257","Massachusetts",2007,"33F","NVT","7553_4#41"
"564","OZJ9F","ERR129185","Massachusetts",2007,"33F","NVT","7622_5#65"
"565","303656","ERR069814","Massachusetts",2001,"18C","VT","6999_6#17"
"566","R34-3038","ERR065295","Massachusetts",2004,"6B","VT","6925_1#57"
"567","436154","ERR065957","Massachusetts",2001,"6B","VT","6952_4#5"
"568","018044","ERR069735","Massachusetts",2001,"6B","VT","6999_3#7"
"569","160986","ERR069782","Massachusetts",2001,"6B","VT","6999_5#8"
"570","302649","ERR069813","Massachusetts",2001,"6B","VT","6999_6#16"
"571","323485","ERR069819","Massachusetts",2001,"6B","VT","6999_6#22"
"572","388483","ERR069838","Massachusetts",2001,"6B","VT","6999_7#18"
"573","R34-3113","ERR068014","Massachusetts",2004,"19F","VT","7001_2#9"
"574","2VBTK","ERR129047","Massachusetts",2007,"7C","NVT","7622_2#23"
"575","QIKYS","ERR129094","Massachusetts",2007,"19F","VT","7622_3#70"
"576","Q0413","ERR129095","Massachusetts",2007,"19F","VT","7622_3#71"
"577","W9G4K","ERR129187","Massachusetts",2007,"7C","NVT","7622_5#67"
"578","TJRUQ","ERR129206","Massachusetts",2007,"19F","VT","7622_5#86"
"579","R34-3056","ERR065312","Massachusetts",2004,"17F","NVT","6925_2#75"
"580","GWTK7","ERR124218","Massachusetts",2007,"17F","NVT","7553_4#2"
"581","3XUC4","ERR124258","Massachusetts",2007,"17F","NVT","7553_4#42"
"582","E3GXY","ERR124306","Massachusetts",2007,"17F","NVT","7553_5#90"
"583","VODW3","ERR129110","Massachusetts",2007,"21","NVT","7622_3#86"
"584","R34-3033","ERR065290","Massachusetts",2004,"31","NVT","6925_1#52"
"585","YSOFP","ERR124311","Massachusetts",2007,"31","NVT","7553_5#95"
"586","E0ZKK","ERR129057","Massachusetts",2007,"31","NVT","7622_2#33"
"587","N8YA4","ERR129135","Massachusetts",2007,"31","NVT","7622_4#15"
"588","R34-3088","ERR067993","Massachusetts",2004,"NT","NVT","7001_1#11"
"589","255210","ERR069803","Massachusetts",2001,"NT","NVT","6999_6#6"
"590","403790","ERR069841","Massachusetts",2001,"NT","NVT","6999_7#21"
"591","173015","ERR069785","Massachusetts",2001,"23F","VT","6999_5#11"
"592","218229","ERR069797","Massachusetts",2001,"23F","VT","6999_5#23"
"593","334847","ERR069821","Massachusetts",2001,"23F","VT","6999_7#1"
"594","132571","ERR069769","Massachusetts",2001,"9N","NVT","6999_4#18"
"595","14YE5","ERR124226","Massachusetts",2007,"9N","NVT","7553_4#10"
"596","U3EO1","ERR129064","Massachusetts",2007,"7F","NVT","7622_2#40"
"597","R34-3059","ERR065315","Massachusetts",2004,"18C","VT","6925_2#78"
"598","R34-3196","ERR069695","Massachusetts",2004,"18C","VT","6999_1#13"
"599","040241","ERR069739","Massachusetts",2001,"18C","VT","6999_3#11"
"600","EKR1O","ERR129044","Massachusetts",2007,"6C","NVT","7622_2#20"
"601","P0N8K","ERR129194","Massachusetts",2007,"6C","NVT","7622_5#74"
"602","436915","ERR065958","Massachusetts",2001,"9N","NVT","6952_4#6"
"603","GJ6MQ","ERR129162","Massachusetts",2007,"9N","NVT","7622_4#42"
"604","R34-3183","ERR067982","Massachusetts",2004,"19A","NVT","6952_7#23"
"605","9LUM5","ERR124252","Massachusetts",2007,"17F","NVT","7553_4#36"
"606","2W7ME","ERR129181","Massachusetts",2007,"16F","NVT","7622_5#61"
"607","18FDW","ERR124244","Massachusetts",2007,"15B/C","NVT","7553_4#28"
"608","R34-3108","ERR068009","Massachusetts",2004,"NT","NVT","7001_2#4"
"609","WG60C","ERR129071","Massachusetts",2007,"NT","NVT","7622_2#47"
"610","34YLE","ERR129102","Massachusetts",2007,"NT","NVT","7622_3#78"
"611","304793","ERR069815","Massachusetts",2001,"37","NVT","6999_6#18"
"612","F5UY4","ERR129151","Massachusetts",2007,"37","NVT","7622_4#31"
"613","R34-3037","ERR065294","Massachusetts",2004,"19A","NVT","6925_1#56"
"614","R34-3026","ERR065352","Massachusetts",2004,"6A","VT","6930_8#20"
"615","044744","ERR069742","Massachusetts",2001,"23F","VT","6999_3#14"
"616","397079","ERR069840","Massachusetts",2001,"6B","VT","6999_7#20"
